Region,Province,City_Mun,Storm Name,Category,Days occur,Year, Affected_FAM ,Totally damaged house,Partially damaged house,,Region,,Year,,Region,Province,Municipality,Magnitude,Incident,Year,Affected Population_FAM,Totally House,Partially House,,Cyclone Name,Category,Days cccur,,CYCLONE DATA,,,,,,,EARTHQUAKE DATA,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,MANSALAY,Ursula,Typhoon,5 2/7,23/12/2019, 454 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,PINAMALAYAN,Ursula,Typhoon,5 2/7,23/12/2019, 65 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,PUERTO GALERA,Ursula,Typhoon,5 2/7,23/12/2019, 68 ,0,13,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,ROXAS,Ursula,Typhoon,5 2/7,23/12/2019, 160 ,5,20,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,SOCORRO,Ursula,Typhoon,5 2/7,23/12/2019, 29 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Oriental Mindoro,VICTORIA,Ursula,Typhoon,5 2/7,23/12/2019, 14 ,0,25,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,ALCANTARA,Ursula,Typhoon,5 2/7,23/12/2019, 131 ,24,107,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,CAJIDIOCAN,Ursula,Typhoon,5 2/7,23/12/2019, 220 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,CALATRAVA,Ursula,Typhoon,5 2/7,23/12/2019, 1 ,0,1,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,CONCEPCION,Ursula,Typhoon,5 2/7,23/12/2019, 63 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,CORCUERA,Ursula,Typhoon,5 2/7,23/12/2019, 36 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,FERROL,Ursula,Typhoon,5 2/7,23/12/2019, 233 ,3,25,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,LOOC,Ursula,Typhoon,5 2/7,23/12/2019, 283 ,22,235,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,ODIONGAN,Ursula,Typhoon,5 2/7,23/12/2019, 45 ,0,45,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,ROMBLON (CAPITAL),Ursula,Typhoon,5 2/7,23/12/2019, 20 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,SAN AGUSTIN,Ursula,Typhoon,5 2/7,23/12/2019, 92 ,0,1,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,SAN ANDRES,Ursula,Typhoon,5 2/7,23/12/2019, 6 ,3,3,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,SAN JOSE,Ursula,Typhoon,5 2/7,23/12/2019, 856 ,565,291,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,SANTA FE,Ursula,Typhoon,5 2/7,23/12/2019," 1,825 ",180,1645,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,Romblon,SANTA MARIA (IMELDA),Ursula,Typhoon,5 2/7,23/12/2019, 144 ,8,20,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,ALTAVAS,Ursula,Typhoon,5 2/7,23/12/2019," 6,680 ",472,5257,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,BANGA,Ursula,Typhoon,5 2/7,23/12/2019," 9,250 ",813,8994,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,BALETE,Ursula,Typhoon,5 2/7,23/12/2019," 7,049 ",130,6919,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,BATAN,Ursula,Typhoon,5 2/7,23/12/2019," 6,557 ",297,5686,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,KALIBO (CAPITAL),Ursula,Typhoon,5 2/7,23/12/2019," 16,036 ",1167,14869,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,LIBACAO,Ursula,Typhoon,5 2/7,23/12/2019, 165 ,9,137,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,MADALAG,Ursula,Typhoon,5 2/7,23/12/2019," 1,385 ",42,911,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,NEW WASHINGTON,Ursula,Typhoon,5 2/7,23/12/2019," 10,323 ",1419,9133,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,BURUANGA,Ursula,Typhoon,5 2/7,23/12/2019," 4,038 ",487,4161,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,IBAJAY,Ursula,Typhoon,5 2/7,23/12/2019," 10,068 ",944,9319,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,LEZO,Ursula,Typhoon,5 2/7,23/12/2019," 4,773 ",285,3437,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,MAKATO,Ursula,Typhoon,5 2/7,23/12/2019," 7,804 ",361,5973,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,MALAY,Ursula,Typhoon,5 2/7,23/12/2019," 4,909 ",735,5354,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,MALINAO,Ursula,Typhoon,5 2/7,23/12/2019," 4,502 ",166,4435,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,NABAS,Ursula,Typhoon,5 2/7,23/12/2019," 10,144 ",986,7797,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,NUMANCIA,Ursula,Typhoon,5 2/7,23/12/2019," 11,814 ",1233,7601,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Aklan,TANGALAN,Ursula,Typhoon,5 2/7,23/12/2019," 4,923 ",343,4583,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Antique,CALUYA,Ursula,Typhoon,5 2/7,23/12/2019," 5,383 ",4014,1439,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Antique,LIBERTAD,Ursula,Typhoon,5 2/7,23/12/2019," 4,163 ",454,3282,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Antique,PANDAN,Ursula,Typhoon,5 2/7,23/12/2019," 8,147 ",539,5650,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Antique,SEBASTE,Ursula,Typhoon,5 2/7,23/12/2019, 705 ,108,693,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,CUARTERO,Ursula,Typhoon,5 2/7,23/12/2019," 1,393 ",23,347,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,DAO,Ursula,Typhoon,5 2/7,23/12/2019," 1,715 ",9,200,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,DUMALAG,Ursula,Typhoon,5 2/7,23/12/2019," 8,098 ",0,29,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,DUMARAO,Ursula,Typhoon,5 2/7,23/12/2019," 11,975 ",1,6,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,IVISAN,Ursula,Typhoon,5 2/7,23/12/2019," 7,415 ",346,6477,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,MA-AYON,Ursula,Typhoon,5 2/7,23/12/2019," 9,139 ",177,2886,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,MAMBUSAO,Ursula,Typhoon,5 2/7,23/12/2019," 4,245 ",98,2868,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,PANAY,Ursula,Typhoon,5 2/7,23/12/2019," 13,253 ",651,3464,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,PANITAN,Ursula,Typhoon,5 2/7,23/12/2019," 4,965 ",34,419,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,PILAR,Ursula,Typhoon,5 2/7,23/12/2019," 13,103 ",1669,10283,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,PONTEVEDRA,Ursula,Typhoon,5 2/7,23/12/2019," 8,951 ",656,626,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,PRESIDENT ROXAS,Ursula,Typhoon,5 2/7,23/12/2019," 8,569 ",318,1865,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,CITY OF ROXAS (CAPITAL),Ursula,Typhoon,5 2/7,23/12/2019," 33,556 ",7791,25765,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,SAPI-AN,Ursula,Typhoon,5 2/7,23/12/2019," 4,734 ",860,3874,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Capiz,SIGMA,Ursula,Typhoon,5 2/7,23/12/2019," 8,761 ",56,3617,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,AJUY,Ursula,Typhoon,5 2/7,23/12/2019," 15,906 ",0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,BALASAN,Ursula,Typhoon,5 2/7,23/12/2019," 9,654 ",0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,BANATE,Ursula,Typhoon,5 2/7,23/12/2019, 85 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,BATAD,Ursula,Typhoon,5 2/7,23/12/2019," 4,734 ",370,3833,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,CARLES,Ursula,Typhoon,5 2/7,23/12/2019," 17,664 ",1362,4200,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,CONCEPCION,Ursula,Typhoon,5 2/7,23/12/2019, 375 ,10,375,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,ESTANCIA,Ursula,Typhoon,5 2/7,23/12/2019," 7,865 ",0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,CITY OF PASSI,Ursula,Typhoon,5 2/7,23/12/2019, 98 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,SAN DIONISIO,Ursula,Typhoon,5 2/7,23/12/2019," 3,818 ",136,2562,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,SAN ENRIQUE,Ursula,Typhoon,5 2/7,23/12/2019, 88 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,SAN RAFAEL,Ursula,Typhoon,5 2/7,23/12/2019, 17 ,1,16,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),Iloilo,SARA,Ursula,Typhoon,5 2/7,23/12/2019," 7,831 ",54,7777,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,ALMERIA,Ursula,Typhoon,5 2/7,23/12/2019," 4,474 ",238,1915,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,KAWAYAN,Ursula,Typhoon,5 2/7,23/12/2019," 2,333 ",390,1943,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,NAVAL (CAPITAL),Ursula,Typhoon,5 2/7,23/12/2019," 7,335 ",674,6681,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,BILIRAN,Ursula,Typhoon,5 2/7,23/12/2019," 3,571 ",227,3344,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,CABUCGAYAN,Ursula,Typhoon,5 2/7,23/12/2019," 5,141 ",207,2961,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,CAIBIRAN,Ursula,Typhoon,5 2/7,23/12/2019," 5,388 ",509,3719,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,CULABA,Ursula,Typhoon,5 2/7,23/12/2019," 3,249 ",148,1083,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,MARIPIPI,Ursula,Typhoon,5 2/7,23/12/2019, 600 ,25,575,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,CITY OF BORONGAN (CAPITAL),Ursula,Typhoon,5 2/7,23/12/2019," 2,285 ",27,2258,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,CAN-AVID,Ursula,Typhoon,5 2/7,23/12/2019, 47 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,SAN JULIAN,Ursula,Typhoon,5 2/7,23/12/2019," 4,134 ",3,81,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,SULAT,Ursula,Typhoon,5 2/7,23/12/2019, 305 ,0,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,BALANGIGA,Ursula,Typhoon,5 2/7,23/12/2019," 4,148 ",118,3234,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,BALANGKAYAN,Ursula,Typhoon,5 2/7,23/12/2019," 2,986 ",150,2465,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,GENERAL MACARTHUR,Ursula,Typhoon,5 2/7,23/12/2019," 4,038 ",288,3159,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,GIPORLOS,Ursula,Typhoon,5 2/7,23/12/2019," 4,140 ",415,3225,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,GUIUAN,Ursula,Typhoon,5 2/7,23/12/2019," 13,800 ",1981,10065,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,HERNANI,Ursula,Typhoon,5 2/7,23/12/2019," 2,670 ",149,2034,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,LAWAAN,Ursula,Typhoon,5 2/7,23/12/2019," 2,921 ",101,2820,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,LLORENTE,Ursula,Typhoon,5 2/7,23/12/2019," 6,137 ",429,4760,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,MERCEDES,Ursula,Typhoon,5 2/7,23/12/2019," 2,389 ",517,1250,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,QUINAPONDAN,Ursula,Typhoon,5 2/7,23/12/2019," 4,644 ",492,3411,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,SALCEDO,Ursula,Typhoon,5 2/7,23/12/2019," 6,072 ",315,3386,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,ALANGALANG,Ursula,Typhoon,5 2/7,23/12/2019," 5,019 ",569,4450,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,BABATNGON,Ursula,Typhoon,5 2/7,23/12/2019," 7,023 ",419,6492,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,PALO,Ursula,Typhoon,5 2/7,23/12/2019," 19,289 ",197,6375,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,SAN MIGUEL,Ursula,Typhoon,5 2/7,23/12/2019," 5,573 ",80,2715,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,SANTA FE,Ursula,Typhoon,5 2/7,23/12/2019," 4,572 ",675,2445,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,CITY OF TACLOBAN (CAPITAL),Ursula,Typhoon,5 2/7,23/12/2019," 25,176 ",990,23257,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,TANAUAN,Ursula,Typhoon,5 2/7,23/12/2019," 8,407 ",568,7839,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,TOLOSA,Ursula,Typhoon,5 2/7,23/12/2019," 5,524 ",152,5306,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,BARUGO,Ursula,Typhoon,5 2/7,23/12/2019," 8,632 ",76,2572,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,CAPOOCAN,Ursula,Typhoon,5 2/7,23/12/2019," 6,705 ",420,5598,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,CARIGARA,Ursula,Typhoon,5 2/7,23/12/2019," 12,080 ",177,5766,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,DAGAMI,Ursula,Typhoon,5 2/7,23/12/2019," 3,293 ",10,2240,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,DULAG,Ursula,Typhoon,5 2/7,23/12/2019," 13,722 ",18,1101,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,JARO,Ursula,Typhoon,5 2/7,23/12/2019," 3,680 ",67,4308,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,LA PAZ,Ursula,Typhoon,5 2/7,23/12/2019," 4,980 ",0,3,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,MACARTHUR,Ursula,Typhoon,5 2/7,23/12/2019, 632 ,1,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,MAYORGA,Ursula,Typhoon,5 2/7,23/12/2019, 71 ,1,0,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,PASTRANA,Ursula,Typhoon,5 2/7,23/12/2019," 3,872 ",140,3733,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,TABONTABON,Ursula,Typhoon,5 2/7,23/12/2019," 3,410 ",35,2581,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,TUNGA,Ursula,Typhoon,5 2/7,23/12/2019," 2,446 ",50,1450,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,CALUBIAN,Ursula,Typhoon,5 2/7,23/12/2019," 7,799 ",317,7255,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,LEYTE,Ursula,Typhoon,5 2/7,23/12/2019," 6,142 ",315,5803,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,SAN ISIDRO,Ursula,Typhoon,5 2/7,23/12/2019," 9,245 ",454,5406,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,TABANGO,Ursula,Typhoon,5 2/7,23/12/2019," 8,496 ",467,8029,,,,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
